Id,Label
1,Ohio
2,Indiana
3,Michigan
4,Illinois
5,Missouri
6,Wisconsin
7,Minnesota
8,Iowa
9,Kansas
10,Nebraska
11,South Dakota
12,North Dakota
13,Liam
14,Noah
15,Oliver
16,Henry
17,Mason
18,William
19,Owen
20,Carter
21,Alexander
22,Elijah
23,Jacob
24,Jackson
25,Lucas
26,Wyatt
27,Levi
