Source,Target,Weight
1,5,5
1,7,4
1,9,3
1,11,2
1,13,1
2,6,5
2,8,4
2,7,3
2,5,2
2,14,1
3,5,5
3,6,4
3,7,3
3,12,2
3,15,1
4,5,5
4,7,4
4,10,3
4,12,2
4,11,1
