Id,Label
1,Texas
2,Oklahoma
3,New Mexico
4,Arizona
5,Noah
6,Elijah
7,Liam
8,Jaxon
9,Jacob
10,Alexander
11,Ethan
12,Michael
13,Daniel
14,Wyatt
15,Aiden
