Id,Label
1,Colorado
2,Wyoming
3,Montana
4,Idaho
5,Washington
6,Oregon
7,Utah
8,Nevada
9,California
10,Alaska
11,Hawaii
12,Liam
13,William
14,Oliver
15,Noah
16,Mason
17,Henry
18,Jacob
19,Jackson
20,Benjamin
21,James
22,Alexander
23,Ethan
24,Luke
25,Daniel
26,Ezekiel
27,Carter
28,Wyatt
29,Lincoln
30,Anthony
31,Matthew
32,Aiden
